loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,habitable_zone,habitable
516,GJ 1002 b,GJ 1002,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,10.3465,0.027,-0.027,0.0,0.0457,0.0013,-0.0013,0.0,,,,,,,,,1.08,0.13,-0.13,0.0,0.0034,0.00041,-0.00041,0.0,Msini,,,,,0.67,0.04,-0.04,0.0,231.0,7.0,-7.0,0.0,0,<a refstr=SU_AACUTE_REZ_MASCARE_NTILDE_O_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221207332S/abstract target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2022</a>,M5.5 V,3024.0,52.0,-52.0,0.0,0.14,0.01,-0.01,0.0,0.12,0.01,-0.01,0.0,-0.25,0.19,-0.19,0.0,[Fe/H],5.1,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,4.84867,0.00303,-0.00304,,,,7.439,0.021,-0.021,11.7804,0.000751,-0.000751,2022-12-17,2022-12,2022-12-17,Yes,Yes
649,GJ 357 d,GJ 357,1,1,3,Radial Velocity,2019,Multiple Observatories,Published Confirmed,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,55.661,0.055,-0.055,0.0,0.204,0.015,-0.015,0.0,,,,,,,,,6.1,1.0,-1.0,0.0,0.01919,0.00315,-0.00315,0.0,Msini,,,,,0.38,0.01,-0.01,0.0,220.0,6.0,-6.0,0.0,0,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,M2.5 V,3505.0,51.0,-51.0,0.0,0.34,0.01,-0.01,0.0,0.34,0.01,-0.01,0.0,-0.12,0.16,-0.16,0.0,[Fe/H],4.94,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.6650634,9.44181,0.00511,-0.00511,10.91,0.1,-0.1,6.475,0.017,-0.017,9.88036,0.00144,-0.00144,2019-07-29,2019-08,2019-08-01,Yes,Yes
1937,HD 109286 b,HD 109286,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,520.1,2.3,-2.3,0.0,1.259,0.021,-0.022,0.0,,,,,,,,,950.30694,47.67426,-47.67426,0.0,2.99,0.15,-0.15,0.0,Msini,0.338,0.034,-0.035,0.0,0.71,0.06,-0.06,0.0,259.0,6.0,-6.0,0.0,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,G4 V,5694.0,23.0,-23.0,0.0,1.09,0.04,-0.04,0.0,0.98,0.05,-0.05,0.0,0.05,0.02,-0.02,0.0,[Fe/H],4.44,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h33m35.00s,188.3958418,+07d16m51.26s,7.2809064,55.4156,0.157,-0.1562,8.78,0.03,-0.03,7.162,0.029,-0.029,8.61599,0.000595,-0.000595,2021-07-26,2021-09,2021-07-26,Yes,Yes
2695,HD 191939 g,HD 191939,1,1,6,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,284.0,10.0,-8.0,0.0,0.812,0.028,-0.028,0.0,,,,,,,,,13.5,2.0,-2.0,0.0,0.04248,0.00629,-0.00629,0.0,Msini,0.03,0.025,-0.011,0.0,0.99,0.08,-0.08,0.0,278.0,6.0,-6.0,0.0,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348.0,100.0,-100.0,0.0,0.94,0.02,-0.02,0.0,0.81,0.04,-0.04,0.0,-0.15,0.06,-0.06,0.0,[Fe/H],4.3,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089,0.0733,-0.0731,8.97,0.03,-0.03,7.18,0.021,-0.021,8.77476,0.000238,-0.000238,2022-11-14,2022-11,2022-11-14,Yes,Yes
3080,HD 27969 b,HD 27969,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,654.5,5.7,-5.8,0.0,1.552,0.032,-0.033,0.0,,,,,,,,,1525.57635,76.27882,-73.10053,0.0,4.8,0.24,-0.23,0.0,Msini,0.182,0.019,-0.019,0.0,0.76,0.13,-0.12,0.0,261.0,11.0,-11.0,0.0,0,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,G0 V,5966.0,21.0,-21.0,0.0,1.27,0.1,-0.1,0.0,1.16,0.07,-0.07,0.0,0.18,0.02,-0.02,0.0,[Fe/H],4.12,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h26m49.64s,66.7068364,+42d54m31.39s,42.90872,67.9328,0.3043,-0.3018,7.66,0.03,-0.03,6.202,0.02,-0.02,7.5139,0.000241,-0.000241,2021-07-26,2021-09,2021-07-26,Yes,Yes
3965,HN Lib b,HN Lib,1,1,1,Radial Velocity,2023,Calar Alto Observatory,Published Confirmed,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.141G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,36.116,0.027,-0.029,0.0,0.1417,0.0023,-0.0023,0.0,,,,,,,,,5.46,0.75,-0.75,0.0,0.01718,0.00236,-0.00236,0.0,Msini,0.079,0.09,-0.055,0.0,0.5,0.02,-0.02,0.0,234.0,6.0,-5.0,0.0,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.141G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,M4.0 V,3347.0,50.0,-50.0,0.0,0.3,0.01,-0.01,0.0,0.29,0.01,-0.01,0.0,-0.18,0.15,-0.15,0.0,[Fe/H],4.76,0.13,-0.13,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h34m16.44s,218.5684823,-12d31m01.22s,-12.5170062,6.24442,0.004455,-0.004455,11.311,0.026,-0.026,5.939,0.034,-0.034,9.87882,0.001708,-0.001708,2023-08-07,2023-07,2023-08-07,Yes,Yes
5047,K2-3 d,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,0.00013,-0.00012,0.0,0.2014,0.0034,-0.0033,0.0,1.458,0.056,-0.051,0.0,0.13,0.005,-0.005,0.0,2.2,,,1.0,0.00692,,,1.0,Mass,0.091,0.12,-0.064,0.0,1.44,0.14,-0.14,0.0,305.0,3.0,-3.0,0.0,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.55,0.02,-0.02,0.0,0.55,0.03,-0.03,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.7,0.02,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-07-10,2022-11,2023-07-10,Yes,Yes
5712,K2-9 b,K2-9,1,1,1,Transit,2015,K2,Published Confirmed,0,<a refstr=SCHLIEDER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...87S/abstract target=ref>Schlieder et al. 2016</a>,18.4498,0.0015,-0.0015,0.0,0.091,0.013,-0.016,0.0,2.25,0.53,-0.96,0.0,0.201,0.047,-0.086,0.0,,,,,,,,,,,,,,1.36,1.59,-0.81,0.0,314.0,67.0,-64.0,0.0,0,<a refstr=SCHLIEDER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...87S/abstract target=ref>Schlieder et al. 2016</a>,M2.5 V,3390.0,150.0,-150.0,0.0,0.31,0.11,-0.11,0.0,0.3,0.14,-0.14,0.0,-0.25,0.2,-0.2,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h45m03.29s,176.263724,+00d00m19.47s,0.0054085,82.9631,0.3747,-0.3714,15.86,0.195,-0.195,11.495,0.023,-0.023,14.8665,0.000584,-0.000584,2016-01-20,2016-02,2016-01-21,Yes,Yes
15267,Kepler-1649 c,Kepler-1649,1,1,2,Transit,2020,Kepler,Published Confirmed,0,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,19.53527,0.0001,-0.0001,0.0,,,,,1.06,0.15,-0.1,0.0,0.095,0.013,-0.009,0.0,,,,,,,,,,,,,,0.75,0.03,-0.3,0.0,234.0,20.0,-20.0,0.0,0,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,,3240.0,61.0,-61.0,0.0,0.23,0.0,0.0,0.0,0.2,0.01,-0.01,0.0,-0.15,0.11,-0.11,0.0,[M/H],5.0,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m00.71s,292.5029676,+41d49m47.98s,41.8299933,92.1913,0.5489,-0.5425,17.95,0.2,-0.2,12.589,0.026,-0.026,16.2682,0.001018,-0.001018,2020-04-16,2020-04,2020-04-23,Yes,Yes
15314,Kepler-1652 b,Kepler-1652,1,1,1,Transit,2017,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,38.09722,0.00021,-0.00021,0.0,0.1654,0.0042,-0.0075,0.0,1.6,0.18,-0.18,0.0,0.143,0.016,-0.016,0.0,,,,,,,,,,,,,,0.81,0.16,-0.13,0.0,268.0,27.0,-20.0,0.0,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,,3638.0,51.0,-51.0,0.0,0.38,0.04,-0.04,0.0,0.4,0.04,-0.05,0.0,-0.3,0.12,-0.12,0.0,[Fe/H],4.88,0.05,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2017-11-14,2017-12,2017-11-16,Yes,Yes
